round,train_loss,test_loss,train_accuracy,test_accuracy
1,6.227224700609425,6.213621085203147,0.546574133504493,0.54
2,3.7656984815465564,4.227481522137606,17.471317394094992,12.92
3,2.5762536013165995,4.341322572925423,36.03076861360719,16.94
4,2.4508800672132525,3.7258149581619455,48.8677390885751,19.77
5,1.9553925723722934,3.5639870981626873,68.12520057766366,23.21
6,2.6601430336453906,3.885794277432599,42.91359114249037,17.75
7,4.1475917676369205,4.734149667281139,13.576099165596919,7.68
8,1.93574916835571,3.6314094036440308,65.68116174582799,21.1
9,1.5079938440222262,3.4883563790140273,78.29147946084724,24.1
10,5.2148773360632505,5.508712798734255,4.444801026957638,3.18
11,1.7012447911613706,3.56501093091844,73.04537066752246,23.75
12,1.4563564188197993,3.4949237123320374,80.00441270860077,24.5
13,1.4060997630751515,3.5006668296041368,80.67133344030809,24.32
14,1.3579723661890553,3.4745558666277536,82.53670571245186,24.64
15,1.2996283393962518,3.46173746374589,83.29789794608472,24.58
16,1.5753599615528344,3.592910802817043,73.78449935815148,22.36
17,1.238714464202252,3.475926471661918,84.68489249037228,24.6
18,1.3075379618221263,3.4985430934761146,83.18056001283696,23.9
19,1.2418647780087668,3.5044427491441557,83.8424663029525,24.02
20,1.1808470664220356,3.49259187299994,86.31057445442876,24.25
21,2.691844202881196,4.214137086385413,44.02980584082157,14.31
22,3.400750446694172,4.476403918447374,27.512235237483956,10.95
23,1.5322645320614205,3.658361881594115,76.55949133504492,21.32
24,1.1353172499775637,3.6019711766061904,89.84876444159178,24.6
25,1.3334243891157809,3.7651243209838867,89.01737002567394,24.17
26,1.015565087903459,3.542820939534827,90.94191270860077,24.88
27,1.143637116897445,3.7311285417291185,91.9969512195122,24.87
28,1.0191666372660855,3.6204682694205754,92.49839537869063,24.87
29,1.2303644564886982,3.761202555668505,92.91359114249038,25.04
30,1.4644840118890445,4.104657477970365,92.97978177150192,24.71
31,0.8454731031977623,3.6008856628514545,93.8593148267009,24.94
32,1.507841947488218,4.349014801315114,92.79725609756098,24.09
33,1.0006218165168623,3.76919276503068,94.14012355584083,25.16
34,1.0572454628016428,3.8003548187545584,92.70097881899872,23.95
35,1.182735099777203,3.9421698835831656,94.19227374839538,24.79
36,1.5464880973562138,4.272579226312758,94.72079589216945,24.92
37,1.2420593027221758,3.9738226993174495,94.3637676508344,24.8
38,1.3196113632630708,4.061431024647966,94.68068035943517,24.83
39,1.6329956093903735,4.2968722053720985,94.74887676508345,25.01
40,1.3598600776229484,4.043993678274034,95.07280969191271,24.96
41,1.4114338779086684,4.08947979649411,95.04172015404365,25.16
42,1.5317778879568202,4.18614643434935,95.46895057766366,25.17
43,1.9649444030702399,4.598477125167847,95.58327984595635,25.24
44,1.6655708839721513,4.315454959869385,95.76580551989731,25.35
45,1.5169945851154156,4.168446157552019,96.12283376123236,25.37
46,2.1073439082879526,4.736775440505788,96.18100128369704,25.28
47,1.2849903314901903,4.002701330788528,96.61124037227215,25.43
48,1.4224002743609214,4.167371043676062,96.65937901155327,25.46
49,1.1164733488114744,3.9462676500972313,96.8980664313222,25.56
50,1.3498364675409023,4.212875803814659,96.88302310654684,25.52
