round,train_loss,test_loss,train_accuracy,test_accuracy
1,5.461385750602345,5.459456516217582,0.5656290115532734,0.47
2,4.3508555296089835,4.544480830808229,14.552912387676509,10.99
3,3.905528291477805,4.389727326888073,26.284699935815148,15.01
4,3.657306598644319,4.4099737420866765,36.11601412066752,16.03
5,3.5045380043995196,4.428585716440708,43.72994223363286,16.67
6,3.27715967964527,4.379606289199636,52.514241014120664,18.01
7,4.207845891443837,4.758110698265366,20.788871951219512,9.37
8,3.0167051583934055,4.365840670428699,62.696566110397946,18.55
9,2.964925760993173,4.365505158146726,64.3693838254172,18.37
10,2.900655926042378,4.363924956019921,64.95507060333762,17.94
11,2.803546862739368,4.349760900569867,68.89341302952504,18.66
12,2.8941978607279095,4.3897903478598295,65.3201219512195,17.92
13,2.7266319840587663,4.353813814211495,69.10602535301669,18.3
14,3.1567928752574175,4.4725130539906175,55.12275353016688,15.82
15,2.692499105237421,4.36210695097718,69.02980584082157,17.96
16,2.6547385130464725,4.363414812691604,69.76692875481386,18.09
17,2.516979356005348,4.336745823485942,75.49843549422336,19.06
18,2.536578320719643,4.355177831046189,74.04825898587933,18.19
19,2.4511924469969237,4.342216437375998,75.26877406931965,18.53
20,2.3588862717936085,4.33001902737195,77.99362163029525,18.99
21,2.3167958500719297,4.31952034069013,80.26917522464699,19.31
22,2.326501437373996,4.323984628991235,80.3223283055199,19.33
23,2.283905906981468,4.328252768214745,80.89598042362003,19.21
24,2.3142484976824367,4.333121058307117,80.5058568677792,19.35
25,2.1904043741978136,4.311082559295848,83.25778241335044,19.6
26,2.2270893911263543,4.324800910828989,83.56366335044929,19.52
27,2.1871310763743965,4.314950236791296,84.07313061617458,19.74
28,2.2376767355072182,4.3419782904129995,82.18569480102695,19.21
29,2.1631962814362704,4.324754014799867,84.46525994865212,19.73
30,2.114737906972668,4.319031528279751,85.41098363286265,19.69
31,2.1328827348967248,4.32913584045217,85.62159017971759,19.49
32,2.0929304132477866,4.318706928929196,85.95755776636713,19.61
33,2.103379412507778,4.323816402049005,86.17819319640564,19.66
34,2.083417128489436,4.332971675486505,87.00758183568678,19.92
35,2.0700784235319833,4.3273420786555805,87.07577824133504,19.71
36,2.1077969955447777,4.342668892462043,86.30656290115533,19.59
37,2.050182193750963,4.32553730735296,87.83596758664956,20.15
38,2.0307025069579754,4.3218759041798265,87.9763719512195,19.69
39,2.0036039788955735,4.318368537516534,88.29629332477535,19.94
40,1.9900231693149906,4.316904626315153,88.63526957637997,19.91
41,1.9933817186891232,4.322866542429864,88.56105584082157,19.71
42,1.9460704658044605,4.311255678345885,89.73142650834403,20.12
43,1.9676433101484396,4.317539806607403,89.27210365853658,19.72
44,1.9221252101460196,4.310697302033629,90.2439024390244,19.93
45,1.9267619300972143,4.315709358529199,90.13358472400513,19.78
46,1.873746424896321,4.310819861255115,90.26797175866496,19.79
47,1.8803771060455894,4.310301140893864,90.4504974326059,19.84
48,1.7907306184557783,4.303604783891123,91.2969351732991,19.88
49,1.7384959735776764,4.293619219260879,91.31599005134788,19.92
50,1.6644736839227794,4.282004078732261,91.53060815147626,20.06
