round,train_loss,test_loss,train_accuracy,test_accuracy
1,4.9476,4.7399,10.01,10
2,3.3843,3.2323,10.95,11.23
3,2.3487,2.2,25.47,25.71
4,1.7973,1.7505,37.92,37.8
5,1.5416,1.5641,44.76,44.09
6,1.4515,1.4659,50.93,49.28
7,1.2714,1.371,56.17,53.78
8,1.2393,1.3508,58.84,54.31
9,1.0524,1.2206,63.47,58.4
10,0.9874,1.205,65.49,59.78
11,0.9832,1.2261,65.68,58.65
12,0.9458,1.189,68.59,60.78
13,0.8892,1.2093,69.28,60.92
14,0.9097,1.1913,70.23,61.44
15,0.8932,1.1868,70.5,60.97
16,0.855,1.1899,72.98,63.13
17,0.796,1.1516,73.61,63.56
18,0.7718,1.1297,74.55,63.83
19,0.77,1.1799,75.12,64.04
20,0.7265,1.1837,75.7,63.9
21,0.7465,1.1646,75.59,64.25
22,0.7102,1.154,75.6,64.3
23,0.6729,1.1213,78.03,65.61
24,0.6886,1.1127,78.13,65.74
25,0.7949,1.2514,76.14,64.09
26,0.6611,1.1289,78.65,65.66
27,0.6263,1.1441,79.74,66.66
28,0.6266,1.1223,79.27,65.44
29,0.6655,1.1387,79.2,66.15
30,0.6237,1.1306,80.4,66.2
31,0.6427,1.1199,79.88,66.33
32,0.5551,1.0926,81.87,67.2
33,0.6252,1.1386,80.22,65.66
34,0.6132,1.1215,80.42,65.7
35,0.5721,1.1131,81.45,65.97
36,0.5733,1.1346,81.53,66.71
37,0.5757,1.0905,82.35,67.43
38,0.5816,1.1147,81.41,67.13
39,0.564,1.1267,81.74,66.83
40,0.5988,1.1133,81.27,66.7
41,0.5874,1.121,81.66,66.24
42,0.6182,1.1402,81.17,66.09
43,0.6079,1.1387,81.66,66.78
44,0.5503,1.1213,82.25,67.65
45,0.5374,1.0986,83.14,67.82
46,0.5609,1.1306,83.42,68
47,0.5498,1.0967,83.07,67.99
48,0.5653,1.1191,82.02,66.7
49,0.5205,1.065,84.12,68.53
50,0.5877,1.1028,81.58,66.57
51,0.5293,1.0725,83.53,67.99
52,0.4918,1.0673,84.2,67.71
53,0.5438,1.0885,83.55,67.53
54,0.501,1.0865,84.21,68.31
55,0.5148,1.0975,83.91,68.58
56,0.568,1.0971,83.43,67.68
57,0.5221,1.0621,84.56,68.34
58,0.488,1.1325,84.52,68.4
59,0.5731,1.1362,82.24,66.82
60,0.5048,1.0755,84.45,68.62
61,0.5078,1.0658,84.63,68.39
62,0.5199,1.0881,83.99,68.12
63,0.5937,1.1476,83.08,67.18
64,0.5684,1.1508,82.66,67.13
65,0.5071,1.1223,83.9,68.33
66,0.575,1.1447,82.83,67.67
67,0.4792,1.117,84.95,68.68
68,0.5206,1.1178,83.33,67.72
69,0.5226,1.1265,83.8,68.86
70,0.5554,1.1469,82.67,67.06
71,0.5654,1.1474,82.21,66.71
72,0.4762,1.1424,84.81,68.04
73,0.5268,1.1127,84.39,67.78
74,0.4781,1.1129,84.84,68.38
75,0.4649,1.1206,85.82,69.08
76,0.517,1.1372,84.83,68.1
77,0.5092,1.1489,82.87,66.51
78,0.5128,1.0958,84.57,68.01
79,0.4754,1.1531,85.07,68.17
80,0.4751,1.107,85.02,68.12
81,0.5178,1.1415,83.38,67.83
82,0.6042,1.2058,82.32,66.77
83,0.5529,1.1705,83.71,67.26
84,0.5296,1.1441,83.39,67.35
85,0.5373,1.173,82.75,67.17
86,0.4995,1.1026,85.11,68.5
87,0.4945,1.134,84.04,67.92
88,0.519,1.1438,84.63,67.52
89,0.5328,1.1209,84.34,67.93
90,0.4672,1.1233,85.12,68.28
91,0.477,1.094,84.63,67.93
92,0.4735,1.1318,85.62,68.89
93,0.5082,1.1571,85.02,67.92
94,0.5405,1.1882,83.65,67.06
95,0.4909,1.1295,84.78,67.48
96,0.5236,1.2391,81.62,65.36
97,0.5258,1.1607,84.13,67.37
98,0.4847,1.1077,85.44,68
99,0.5068,1.1285,85.08,68.01
100,0.5263,1.1487,84.46,67.6
