round,train_loss,test_loss,train_accuracy,test_accuracy
1,7.313712409637738,7.310806105408488,0.4954268292682927,0.5
2,6.696283860626234,6.683615907838073,0.9587612323491655,1.08
3,3.9243651432661695,4.113183109066155,15.34920571245186,13.05
4,3.341558231976889,3.8370671211918697,23.708279845956355,17.68
5,2.9625174250747603,3.764146400403373,29.717586649550704,20.82
6,2.7676000481901126,3.8929794589175453,33.51051026957638,20.78
7,2.6337152000232837,4.103052652334865,36.07790436456996,20.45
8,2.4465867461717234,4.134050610699231,39.28012676508344,21.09
9,2.3449033238315597,4.377021083348914,42.23664152759949,21.42
10,2.2489184010124914,4.469794529902784,44.28754813863928,22.11
11,2.190607391290708,4.618700489213195,46.053634467265724,21.88
12,2.1433790604134413,4.801956200901466,47.725449293966626,22.48
13,2.134070459122113,4.876385432255419,48.33821405648267,21.86
14,1.991313080788516,4.907649846016606,50.63783697047497,22.42
15,2.034369953440425,4.973481763767291,50.27579428754814,21.47
16,1.8712960314924802,4.934907816633394,52.82914794608472,22.17
17,1.8590347254468003,4.974600659141058,53.39878851091142,22.49
18,1.834225968937871,5.026251134993155,54.6875,22.61
19,1.7922275208557934,4.940637811829772,54.94624518613607,22.63
20,1.7178348332399196,5.000642806668825,56.28810975609756,22.86
21,1.7755866996261531,5.001412940930717,54.95627406931965,21.98
22,1.6734519612875325,4.950935532775106,57.23483632862645,22.94
23,1.710086866822777,4.9093173847922795,56.6010109114249,23.44
24,1.6385418452301088,4.9423004253001155,57.81651155327343,22.75
25,1.613656015422427,4.895150474355191,58.3079268292683,22.65
26,1.6167118476496376,4.94975800453862,58.735157252888314,23.29
27,1.567014428996932,4.898592773872085,59.059090179717586,23.05
28,1.5717206079589008,4.882876848872704,59.11124037227214,22.33
29,1.532321231266306,4.826974829540977,59.28574293966624,22.79
30,1.5823160070005227,4.838404429109791,58.77426989730423,22.93
31,1.5207108894113008,4.832719549348083,60.423018292682926,23.21
32,1.4853303941813871,4.846250552165357,60.687780808729144,22.82
33,1.44336752281182,4.827525555333005,61.39983151476252,23.42
34,1.5072245352828055,4.781563324264333,60.23748395378691,23.77
35,1.4385487083865744,4.743501379520079,61.40885750962772,23.45
36,1.4198138768026236,4.663381860226015,61.89124679075738,23.21
37,1.421717784099306,4.705696214603472,61.60040917843389,22.37
38,1.406219822457119,4.6806056861636005,62.28137034659821,23.32
39,1.3971719962241222,4.653513576410994,62.36761874197689,23.13
40,1.3937879746751853,4.65082505383069,62.629372593068034,23.35
41,1.3764930356121015,4.632867779912828,63.13783697047497,23.76
42,1.3281847444240111,4.5979428653475605,63.849887676508345,23.61
43,1.3200406870633288,4.579582763623588,64.04745667522465,23.59
44,1.3089839724893149,4.572207677213451,63.62925224646984,23.25
45,1.3056335166572919,4.574086291880548,64.16479460847239,24.23
46,1.3303964258534247,4.4739716626420805,63.52896341463414,23.09
47,1.3006889038505371,4.471161042587666,63.83384146341463,23.31
48,1.2757596826635687,4.519745648661746,64.58500481386393,24.18
49,1.3074981368905447,4.508928247644931,63.97023427471117,24.02
50,1.241189411431828,4.468649996986872,65.25292843388961,24.0
51,1.2680692533653353,4.418811348420155,65.24289955070603,24.36
52,1.2887677310103307,4.454725295682497,64.30419608472401,24.24
53,1.2449602390151597,4.4758726494221746,65.7623956996149,24.53
54,1.266444317038127,4.452960844281353,65.16868581514763,24.02
55,1.2507286374907063,4.43526915960674,65.29404685494224,24.24
56,1.2749885269609451,4.368177024624016,64.57698170731707,23.87
57,1.1908994351723763,4.3172573017168645,66.83949775353017,24.72
58,1.2175270789820523,4.363499897944776,66.20366655969191,24.79
59,1.178389423710351,4.372972714750072,66.77631578947368,24.29
60,1.1761075725430554,4.314334271829339,66.95081835686779,24.87
61,1.2043361547880687,4.328978740716282,66.6549663029525,25.19
62,1.17457608811169,4.3118932307521,66.88161906290115,25.15
63,1.1848178932598834,4.236738515805595,66.91070282413351,25.01
64,1.1766886855835466,4.261776827558687,66.97889922978177,24.9
65,1.155865542927033,4.220041658304915,67.54853979460847,24.99
66,1.146461863408604,4.171317182009733,67.94468068035944,25.01
67,1.232884717934968,4.150461196899414,66.12844993581515,24.31
68,1.154716539611469,4.167767222923569,67.6057044287548,25.04
69,1.134984123207436,4.116724904579453,68.3498475609756,25.23
70,1.1150946491838802,4.1362743196608145,68.50228658536585,25.14
71,1.1823401569179615,4.229334357418591,67.22861842105263,24.89
72,1.1261879724853663,4.173636928389344,68.67277759948652,25.48
73,1.1075662726324231,4.09082291699663,68.98768453145058,25.96
74,1.1095630777711964,4.113860800296446,68.89842747111682,25.99
75,1.127481348241974,4.111649993099744,68.27663671373556,24.84
76,1.0920090603209487,4.100303248514103,68.97264120667522,25.22
77,1.106860333728428,4.079049484639228,68.72994223363287,25.33
78,1.0903059429365292,4.07896083216124,69.40990051347882,25.33
79,1.0915892132487461,4.120184530185748,68.78008664955071,25.02
80,1.0489337149609173,4.019473863553397,70.07280969191271,25.79
81,1.0861163469493924,4.016763427589513,69.65159659820283,25.45
82,1.0613381945122726,4.01237573502939,69.90933889602053,25.69
83,1.0131828549001025,3.9913227769392954,71.14690308087292,26.5
84,1.118518372837719,3.9433306259445,68.92650834403081,25.01
85,1.0623603912982627,4.012858529634114,70.03770860077022,25.63
86,1.0437130795478258,3.9392157747775696,70.60935494223364,26.5
87,1.0388264276245394,3.935635355454457,70.50405166880617,25.77
88,1.0121550893691222,3.9644665476642076,71.05062580231065,26.2
89,1.0195496441461682,3.9341993211190913,71.03157092426187,26.4
90,1.051133742694953,3.955689891984191,70.26737002567394,25.97
91,1.0430521386960196,3.912793132323253,70.47095635430038,25.87
92,1.0037585769570398,3.967865645130978,71.12784820282413,25.99
93,1.0459994231698317,3.883427360389806,70.7427390885751,26.16
94,1.0509660236034246,3.9128039003927495,70.34860397946085,25.7
95,1.063740177722467,3.941255228428901,69.60646662387676,25.3
96,1.0479227187841305,3.9149152297007888,70.37467907573813,25.88
97,0.9947135334176045,3.8848881570598746,71.91712130937098,25.8
98,1.031260247360867,3.851389070100422,71.27928433889602,25.72
99,0.9731545029827642,3.955528467516356,72.26311777920411,25.81
100,0.9878254378007096,3.921824041801163,71.88703465982029,26.03
