round,train_loss,test_loss,train_accuracy,test_accuracy
1,4.785332043588845,4.883078128476686,7.936858151476252,7.08
2,3.4323176573427014,4.329809876936901,25.404163992297818,17.39
3,2.8129886081463047,5.069835204112379,37.16503530166881,18.6
4,2.514738994963099,5.940864158582084,46.025553594351734,19.29
5,2.2262066771656217,6.309442302848719,51.77812098844673,19.75
6,2.0445866380418285,6.588385678544829,56.3242137355584,20.91
7,1.8087799874284483,6.582442609569695,60.58348042362003,21.07
8,1.5513921262004575,6.425850602644909,64.16680038510911,21.72
9,1.4590820058688951,6.437881306756901,65.53273427471117,20.9
10,1.3059545004433013,6.263978807232048,68.47520860077022,21.99
11,1.247716675550718,6.171714885325372,69.47709403080873,22.52
12,1.1850054646990476,6.055252020872092,70.25232670089859,22.24
