round,train_loss,test_loss,train_accuracy,test_accuracy
1,3.910720111708938,4.194554485852206,16.465420410783054,13.56
2,2.1771146726082806,3.829539772830432,44.7940067394095,23.74
3,1.53801066353564,4.78792269018632,58.633865532734276,22.29
4,1.0058860866882313,5.68758156933362,72.26211489088575,22.88
5,0.7775623912091407,6.232618084436731,78.3877567394095,23.51
6,0.6028770814232705,6.413360299943369,83.15247913992297,23.46
7,0.4856374066216613,6.528570175170898,86.13908055198974,24.2
8,0.38472859147905025,6.539128243168698,88.73956996148908,24.69
9,0.33663747976343117,6.527889517289173,90.13258183568678,24.24
10,0.2960224396796703,6.402702639374552,91.09034017971759,24.64
11,0.26343621875782225,6.281632302682611,92.1363526957638,24.11
12,0.2555986894522777,6.284150419355948,92.20655487804879,24.75
13,0.2843959567918775,6.3234751979007,91.44135109114248,23.85
14,0.3043576137903784,6.2684552096113375,90.78445924261874,23.71
15,0.31334319438486596,6.32599435275114,90.62700577663672,23.49
16,0.2989510517729378,6.293606715866282,90.96598202824133,23.84
17,0.2378099716204068,6.192033640946014,92.73206835686779,24.38
18,0.2100795355244962,6.142210519766506,93.66274871630296,24.52
19,0.16500542741381585,6.020989067946808,95.05174903722721,24.73
20,0.13342014266827812,5.897358598588388,95.97139762516046,24.81
21,0.11322992090940838,5.739433481723448,96.59820282413351,24.97
22,0.0981908130349832,5.535616096061997,97.17686938382542,25.42
23,0.08752564731702764,5.372628731063649,97.64120667522465,25.08
24,0.07930459516943122,5.2124078002157095,97.98720314505776,25.14
25,0.06999994770161552,5.0827733414082585,98.3051187419769,25.2
26,0.0642603960857527,4.9329807848869995,98.54180038510911,25.39
27,0.0581322602885236,4.842332251464264,98.78249358151476,25.34
28,0.053974887188293894,4.760043642188929,98.94797015404365,25.44
29,0.051081044055896564,4.673962973341157,99.07132541720154,25.4
30,0.045746575879324035,4.610263649421402,99.21875,25.3
31,0.04335991625829969,4.55238222774071,99.30499839537869,25.64
32,0.040923248610448625,4.506831123859068,99.35514281129653,25.35
33,0.04110405269824705,4.510285851321643,99.36918324775354,25.09
34,0.045628146112868403,4.672380912153026,99.18966623876764,25.12
35,0.6884755705320529,5.171180531948427,80.1247593068036,22.65
36,0.3821885857256779,5.804152784468252,88.6442955712452,23.35
37,0.2223518035502307,5.9479966284353525,93.17033055198974,24.6
38,0.1615126983799311,5.967569592632825,95.07080391527599,24.65
39,0.10882124689276824,5.788831487486634,96.74963896020539,25.14
40,0.0806801219252111,5.542141238345375,97.68533376123236,25.37
41,0.06404614425025339,5.307225758516336,98.28205231065469,25.58
42,0.05647618432000355,5.097870500781868,98.57589858793325,25.39
43,0.0500913353929107,4.9312105842783485,98.85470154043645,25.29
44,0.04341624075213168,4.7590772351132165,99.11545250320924,25.56
45,0.03957803668105769,4.623445679869833,99.30600128369704,25.42
46,0.03644106900124493,4.507522193691399,99.39626123234918,25.64
47,0.0332576359039754,4.40846684009214,99.51359916559693,25.7
48,0.029981153697056007,4.327455484414402,99.61188222079589,25.71
49,0.028912275725099894,4.27060346361957,99.66102374839538,25.68
50,0.026876916027765495,4.21755409844314,99.730223042362,25.45
51,0.02535943185102007,4.190534452848796,99.74125481386393,25.48
52,0.02343852079312577,4.1537431101255775,99.78638478818999,25.39
53,0.02310486232913094,4.132987879499605,99.80644255455712,25.45
54,0.0211298041986733,4.1099148339863065,99.83352053915276,25.59
55,0.019882328148743255,4.094630458686925,99.85558408215661,25.43
56,0.01988857106963394,4.081816217567347,99.85458119383826,25.48
57,0.7786946159693428,4.740132606482204,77.54533055198974,23.46
58,0.3823218099881882,5.620144783696042,88.69644576379974,23.81
59,0.22286060277050632,5.819482495513143,93.22248074454428,25.02
60,0.12189714413235544,5.7607210618031175,96.2612323491656,25.79
61,0.07740774430000436,5.503943153574497,97.69135109114248,26.16
62,0.058968792607960986,5.246387041067775,98.35426026957637,26.37
63,0.048807246242069474,5.0163392175602,98.77647625160462,26.36
64,0.04165600226560717,4.793383381034754,99.08035141206675,26.31
65,0.035694770329951456,4.615187469917007,99.32405327342747,26.3
66,0.032018168665129146,4.454058285000958,99.48451540436457,26.21
67,0.03016895436129301,4.333971289139759,99.57878690629012,26.32
68,0.026659130314521058,4.238784041585801,99.66202663671375,26.83
69,0.025472249824722227,4.168541642683971,99.72721437740694,26.86
70,0.023696694168244922,4.101901120777372,99.78538189987162,26.81
71,0.02218182091331475,4.049408170241344,99.81747432605906,26.76
72,0.020551444533806123,4.011938031715683,99.83151476251605,26.73
73,0.019700934833245615,3.9866887647894362,99.8626043003851,26.93
74,0.018242197408295472,3.969884987118878,99.88165917843389,26.65
75,0.017639138518268725,3.9445491863202444,99.90171694480102,26.63
76,0.030704971942661308,4.062384967562519,99.66904685494224,25.8
77,0.01704753388692466,4.0204196428950825,99.86160141206675,26.42
78,0.015767599591607534,3.9876638243470013,99.8906851732991,26.74
79,0.014984212538181833,3.9628335524208937,99.90974005134788,26.56
80,0.7116604023744438,4.918239602559729,79.6132862644416,23.26
81,0.3232521026033712,5.436343506921696,90.38230102695763,24.86
82,0.15320117207440084,5.577853365789486,95.36765885750962,25.74
83,0.07564405574860401,5.335743004762674,97.78261392811297,26.4
84,0.05721435340201193,5.063552862481226,98.42145378690628,26.31
85,0.045606187616850105,4.804796436164953,98.86673620025674,26.54
86,0.038895318509902785,4.590146103991738,99.1465420410783,26.69
87,0.03481275358430971,4.416105388086053,99.3491254813864,26.56
88,0.029906885173706692,4.2716807624961755,99.52262516046213,26.84
89,0.027967247526881633,4.163235015506986,99.63494865211811,26.88
90,0.0250351224494078,4.0624980262563195,99.72119704749679,27.27
91,0.023336064911375676,3.993603959868226,99.76331835686779,27.13
92,0.022498758070207864,3.9432388951506794,99.78738767650835,27.16
93,0.021409554826758437,3.895630489421796,99.81847721437741,26.86
94,0.02062125364555007,3.858931221539461,99.83753209242619,27.08
95,0.018561941380539366,3.8331514461131038,99.8696245186136,26.78
96,0.017493962746215848,3.814014736610123,99.88266206675225,26.92
97,0.01650945199045298,3.790868083132973,99.90271983311938,26.93
98,0.015498280308576922,3.7691214778755286,99.92277759948652,26.94
99,0.014492087886238857,3.761376163627528,99.92879492939666,27.04
100,0.01377972147851833,3.7475928988637803,99.93380937098844,26.91
